"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NO2_25
E08000025,410500,300500,6,2,9.800182
E08000025,411500,300500,6,35,9.100132
E08000025,412500,300500,6,35,8.898755
E08000025,409500,299500,6,2,10.20337
E08000025,410500,299500,6,2,10.23157
E08000025,411500,299500,6,2,10.18068
E08000025,412500,299500,6,35,9.883
E08000025,413500,299500,6,35,9.932982
E08000025,409500,298500,6,2,10.17893
E08000025,410500,298500,6,2,10.26098
E08000025,411500,298500,6,2,10.92277
E08000025,412500,298500,6,2,10.66912
E08000025,413500,298500,6,35,10.02201
E08000025,414500,298500,6,35,10.09669
E08000025,408500,297500,6,2,11.04067
E08000025,409500,297500,6,2,10.35573
E08000025,410500,297500,6,2,10.37194
E08000025,411500,297500,6,2,10.98146
E08000025,412500,297500,6,2,11.05892
E08000025,413500,297500,6,35,10.83012
E08000025,414500,297500,6,35,9.790669
E08000025,408500,296500,6,2,11.7287
E08000025,409500,296500,6,2,10.75981
E08000025,410500,296500,6,2,10.62374
E08000025,411500,296500,6,2,11.33664
E08000025,412500,296500,6,2,12.43701
E08000025,413500,296500,6,2,11.29926
E08000025,414500,296500,6,2,10.65133
E08000025,415500,296500,6,35,10.46592
E08000025,407500,295500,6,2,13.4271
E08000025,408500,295500,6,2,12.79526
E08000025,409500,295500,6,2,12.13156
E08000025,410500,295500,6,2,11.35783
E08000025,411500,295500,6,2,12.29889
E08000025,412500,295500,6,2,12.00582
E08000025,413500,295500,6,2,11.74434
E08000025,414500,295500,6,2,10.8143
E08000025,415500,295500,6,35,10.40244
E08000025,405500,294500,6,2,16.17046
E08000025,406500,294500,6,2,13.69298
E08000025,407500,294500,6,2,14.62161
E08000025,408500,294500,6,2,13.63032
E08000025,409500,294500,6,2,13.60452
E08000025,410500,294500,6,2,13.08118
E08000025,411500,294500,6,2,12.93691
E08000025,412500,294500,6,2,12.39631
E08000025,413500,294500,6,35,11.9286
E08000025,414500,294500,6,35,11.29859
E08000025,415500,294500,6,35,10.85452
E08000025,416500,294500,6,35,10.19841
E08000025,405500,293500,6,2,14.9727
E08000025,406500,293500,6,2,16.07874
E08000025,407500,293500,6,2,14.93177
E08000025,408500,293500,6,2,14.53707
E08000025,409500,293500,6,2,13.78102
E08000025,410500,293500,6,2,13.63695
E08000025,411500,293500,6,2,13.75213
E08000025,412500,293500,6,35,12.87382
E08000025,413500,293500,6,2,12.80025
E08000025,414500,293500,6,2,12.27564
E08000025,415500,293500,6,35,11.60358
E08000025,416500,293500,6,35,10.9278
E08000025,403500,292500,6,35,12.73083
E08000025,404500,292500,6,2,13.73068
E08000025,405500,292500,6,2,14.45487
E08000025,406500,292500,6,2,15.305
E08000025,407500,292500,6,2,18.42025
E08000025,408500,292500,6,2,15.02577
E08000025,409500,292500,6,2,14.4184
E08000025,410500,292500,6,2,14.49529
E08000025,411500,292500,6,2,14.56693
E08000025,412500,292500,6,2,13.84689
E08000025,413500,292500,6,2,13.64921
E08000025,414500,292500,6,2,13.9315
E08000025,415500,292500,6,2,13.51355
E08000025,416500,292500,6,35,12.65479
E08000025,417500,292500,6,35,11.57385
E08000025,403500,291500,6,35,12.9177
E08000025,404500,291500,6,2,13.48054
E08000025,405500,291500,6,2,13.78238
E08000025,406500,291500,6,2,15.17348
E08000025,407500,291500,6,2,17.8337
E08000025,408500,291500,6,2,17.89398
E08000025,409500,291500,6,2,15.92471
