"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 NOx as NO2
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_NOx_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Aircraft_in_25,Aircraft_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,Point_Sources_25,Rural_25
E08000025,410500,300500,6,2,12.7617,0,0.740453,0,0.123487,0.239428,0.83915,0.659685,1.454273,0.011592,1.757517,0.191773,1.044109,0,0.024869,0.023644,0.280259,0.032288,1.091499,0.707886,3.539791
E08000025,411500,300500,6,35,11.7837,0,0.734785,0,0.126139,0.068057,0.847453,0.07573,1.507919,0.025632,1.69744,0.017915,1.072994,0,0.030077,0,0.288335,0.007076,1.047002,0.697357,3.539791
E08000025,412500,300500,6,35,11.50332,0,0.756662,0,0.129006,0,0.842171,0.083102,1.416906,0.021478,1.662252,0.002582,1.02643,0,0.036213,0,0.286037,0.006464,1.012645,0.681573,3.539791
E08000025,409500,299500,6,2,13.33501,0,0.826083,0,0.106541,0.093247,0.9019,0.682032,1.593265,0.004471,1.946354,0.230739,1.181234,0,0.040867,0,0.316611,0.026471,1.187662,0.737671,3.459866
E08000025,410500,299500,6,2,13.37348,0,0.787243,0,0.109162,0.119229,0.886043,0.75402,1.649666,0.005158,1.837667,0.306814,1.171915,0,0.049493,0.011553,0.304436,0.016428,1.117341,0.723637,3.52368
E08000025,411500,299500,6,2,13.30146,0,0.773078,0,0.111046,0.151801,0.882318,0.661947,1.675916,0.006489,1.800149,0.265369,1.233352,0,0.060215,0.014764,0.305802,0.051929,1.064451,0.719159,3.52368
E08000025,412500,299500,6,35,12.88022,0,0.78263,0,0.113381,0,0.884483,0.584441,1.662301,0.016171,1.7569,0.187601,1.219686,0,0.073039,0,0.307822,0.019939,1.037392,0.710762,3.52368
E08000025,413500,299500,6,35,12.94548,0.379848,0.766395,0,0.117455,0.043699,0.932026,0.59062,1.520142,0.040927,1.675796,0.091417,1.121052,0,0.087411,0,0.304121,0.021629,0.99908,0.730181,3.52368
E08000025,409500,298500,6,2,13.30426,0,0.887793,0,0.09466,0,0.946452,0.272903,1.778487,0.003269,2.036944,1.42e-4,1.292151,0,0.040022,0.094358,0.310665,0.003794,1.249765,0.832994,3.459866
E08000025,410500,298500,6,2,13.41814,0,0.836959,0,0.096427,0.084461,0.916144,0.492295,1.753329,0.002222,1.924228,0.110251,1.272851,0,0.04889,0,0.339792,0.008249,1.183388,0.824978,3.52368
