"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 gravimetric PM10
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_PM10_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Brake+Tyre_in_25,Brake+Tyre_out_25,Road_Abrasion_in_25,Road_Abrasion_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,PM_secondary_25,Residual+Salt_25,Point_Sources_25
E08000025,410500,300500,6,2,11.61091,0,0.007099,0,0.001189,0.002297,0.008014,0.007529,0.016707,0.093939,0.290603,0.031196,0.122688,0.150276,1.239152,0.098936,0.407018,7.19e-4,0.00699,0.012187,0.150857,4.671392,4.09866,0.193465
E08000025,411500,300500,6,35,11.80562,0,0.007042,0,0.001214,6.67e-4,0.008095,7.59e-4,0.017353,0.014972,0.296906,0.005267,0.12504,0.019179,1.231075,0.0055,0.40794,0,0.007237,0.001452,0.147137,4.671392,4.656967,0.180426
E08000025,412500,300500,6,35,11.74743,0,0.007231,0,0.001241,0,0.008063,7.77e-4,0.016281,0.009079,0.288716,0.003267,0.123984,0.010077,1.195246,0.002357,0.379748,0,0.0071590000000000004,0.00115,0.141356,4.671392,4.70734,0.172965
E08000025,409500,299500,6,2,11.72405,0,0.007924,0,0.001026,9.03e-4,0.008623,0.007435,0.018319,0.082672,0.31491,0.027427,0.132694,0.117898,1.340535,0.09039,0.450295,0,0.007701,0.007917,0.165297,4.738454,4.01469,0.188938
E08000025,410500,299500,6,2,11.6547,0,0.007544,0,0.001051,0.001156,0.008489,0.008761,0.018828,0.090279,0.318431,0.029958,0.132778,0.195978,1.286998,0.136413,0.437107,3.51e-4,0.007508,0.013421,0.157563,4.717928,3.903543,0.180621
E08000025,411500,299500,6,2,11.67686,0,0.007409,0,0.001069,0.001488,0.008463,0.007782,0.019177,0.08208,0.319882,0.027305,0.133193,0.157838,1.278913,0.107532,0.432239,4.49e-4,0.007605,0.014322,0.152794,4.717928,4.027116,0.172271
E08000025,412500,299500,6,35,11.78705,0,0.007485,0,0.001091,0,0.008484,0.006709,0.019008,0.061604,0.319055,0.020366,0.134043,0.141942,1.259372,0.106932,0.412683,0,0.007675,0.011183,0.148776,4.717928,4.234752,0.167963
E08000025,413500,299500,6,35,12.24963,0.003466,0.007338,0,0.00113,4.3e-4,0.008914,0.006305,0.017366,0.091215,0.307984,0.041918,0.13203,0.084037,1.242131,0.055193,0.387394,0,0.007578,0.007146,0.142413,4.717928,4.833005,0.154708
E08000025,409500,298500,6,2,11.59077,0,0.008506,0,9.12e-4,0,0.009073,0.002648,0.020389,0.031058,0.342367,0.010302,0.143094,0.004386,1.401763,9.35e-4,0.483449,0.001856,0.007627,0.001086,0.175192,4.738454,4.014809,0.192864
E08000025,410500,298500,6,2,11.47403,0,0.008018,0,9.29e-4,8.18e-4,0.008793,0.005072,0.020039,0.063219,0.334345,0.021017,0.139121,0.047029,1.33867,0.030669,0.464309,0,0.008263,0.003785,0.167215,4.717928,3.912163,0.18263
