"Birmingham"

"Estimated Background Air Pollution Maps (base year 2021), downloaded from https://uk-air.defra.gov.uk/data/laqm-background-home.  Total annual mean concentrations based on 1 km x 1 km grid squares are provided. For further information please refer to the LAQM Support Helpdesk at https://laqm.defra.gov.uk/helpdesk/laqm-helpdesk.html "

Concentrations are as ug.m-3 gravimetric PM2.5
Local_Auth_Code,x,y,geo_area,EU_zone_agglom_01,Total_PM2.5_25,Motorway_in_25,Motorway_out_25,Trunk_A_Rd_in_25,Trunk_A_Rd_out_25,Primary_A_Rd_in_25,Primary_A_Rd_out_25,Minor_Rd+Cold_Start_in_25,Minor_Rd+Cold_Start_out_25,Brake_tyre_in_25,Brake_tyre_out_25,Road_Abrasion_in_25,Road_Abrasion_out_25,Industry_in_25,Industry_out_25,Domestic_in_25,Domestic_out_25,Rail_in_25,Rail_out_25,Other_in_25,Other_out_25,PM_secondary_25,Residual+Salt_25,Point_Sources_25
E08000025,410500,300500,6,2,6.996972,0,0.006945,0,0.001163,0.002247,0.007841,0.007366,0.016345,0.050547,0.156368,0.016481,0.064815,0.055949,0.587668,0.095371,0.392035,6.69e-4,0.00649,0.011256,0.144229,4.104403,1.109905,0.158882
E08000025,411500,300500,6,35,6.819807,0,0.006889,0,0.001188,6.52e-4,0.00792,7.43e-4,0.016977,0.008056,0.15976,0.002783,0.066059,0.00614,0.577402,0.0053,0.392958,0,0.006721,0.001354,0.140525,4.104403,1.165736,0.148241
E08000025,412500,300500,6,35,6.742319,0,0.007075,0,0.001214,0,0.007889,7.61e-4,0.015928,0.004886,0.155353,0.001725,0.0655,0.002368,0.551622,0.002265,0.365796,0,0.006649,0.001048,0.135029,4.104403,1.170773,0.142032
E08000025,409500,299500,6,2,7.168986,0,0.007753,0,0.001004,8.83e-4,0.008436,0.007274,0.017922,0.044484,0.169448,0.014489,0.070102,0.057466,0.645847,0.087067,0.433766,0,0.00715,0.007314,0.157996,4.16831,1.105826,0.156451
E08000025,410500,299500,6,2,7.148353,0,0.00738,0,0.001028,0.001131,0.008305,0.008571,0.01842,0.048577,0.171342,0.015826,0.070146,0.073316,0.61289,0.131543,0.421082,3.27e-4,0.006972,0.012258,0.150458,4.151001,1.088122,0.149655
E08000025,411500,299500,6,2,7.092299,0,0.007249,0,0.001046,0.001455,0.00828,0.007613,0.018761,0.044166,0.172123,0.014425,0.070365,0.061507,0.6043,0.103743,0.416429,4.17e-4,0.007062,0.01334,0.14575,4.151001,1.10048,0.142785
E08000025,412500,299500,6,35,7.033843,0,0.007323,0,0.001067,0,0.0083,0.006564,0.018596,0.033148,0.171678,0.010759,0.070815,0.045344,0.58888,0.103127,0.397585,0,0.007128,0.010267,0.141906,4.151001,1.121243,0.139112
E08000025,413500,299500,6,35,6.976232,0.003391,0.007179,0,0.001105,4.2e-4,0.008721,0.006168,0.016989,0.04908,0.165721,0.022146,0.069751,0.028919,0.559534,0.0532,0.373211,0,0.007039,0.006634,0.135844,4.151001,1.181069,0.129109
E08000025,409500,298500,6,2,7.083216,0,0.008321,0,8.92e-4,0,0.008877,0.002591,0.019947,0.016712,0.184221,0.005442,0.075597,0.00238,0.679614,8.99e-4,0.465757,0.001724,0.007082,8.87e-4,0.167084,4.16831,1.105837,0.161047
E08000025,410500,298500,6,2,7.042697,0,0.007844,0,9.09e-4,8.01e-4,0.008602,0.004962,0.019605,0.034017,0.179904,0.011104,0.073498,0.021902,0.639328,0.029642,0.447332,0,0.007675,0.003334,0.159276,4.151001,1.088984,0.152976
E08000025,411500,298500,6,2,7.163033,0,0.00759,0,9.21e-4,0.0025959999999999998,0.008626,0.009424,0.020072,0.060272,0.18228,0.019733,0.074009,0.060544,0.626219,0.084762,0.441436,6.97e-4,0.007594,0.013764,0.153411,4.151001,1.091561,0.146523
E08000025,412500,298500,6,2,7.150538,0,0.007441,0,9.4e-4,0,0.009046,0.010314,0.020073,0.055057,0.182723,0.017889,0.074284,0.064847,0.617381,0.108519,0.428718,0,0.007741,0.009186,0.151653,4.151001,1.090274,0.143453
E08000025,413500,298500,6,35,6.951622,0,0.007661,0,9.71e-4,0.001437,0.008766,0.002634,0.019839,0.022733,0.181771,0.008635,0.075046,0.011639,0.604646,0.01749,0.414102,0,0.007509,0.003252,0.146594,4.151001,1.129862,0.136029
E08000025,414500,298500,6,35,7.056643,0.005908,0.007259,0,0.001025,0.004151,0.008942,3.83e-4,0.017052,0.045309,0.167626,0.028082,0.070818999999999993,0.009543,0.562215,0.035572,0.36420400000000003,0,0.007444,0.00175,0.137148,4.151001,1.306258,0.12496
E08000025,408500,297500,6,2,7.378345,0,0.009497,0,7.73e-4,0.001744,0.010216,0.003923,0.021872,0.029874,0.204296,0.009657,0.083832,0.030414,0.74762,0.040186,0.520457,0,0.007131,0.004524,0.185666,4.16831,1.122481,0.175869
E08000025,409500,297500,6,2,7.162078,0,0.008929,0,7.9e-4,0,0.009602,8.59e-4,0.020946,0.005741,0.195871,0.001863,0.080197,0.003359,0.701458,0.001323,0.487097,6.94e-4,0.007312,5.23e-4,0.172719,4.16831,1.124425,0.17006
E08000025,410500,297500,6,2,7.069674,0,0.008306,0,8.01e-4,0,0.009111,0.002286,0.020576,0.013693,0.189443,0.004444,0.077175,0.013731,0.663075,0.012673,0.468828,0.002418,0.007341,0.002057,0.164348,4.151001,1.094686,0.163684
E08000025,411500,297500,6,2,7.206295,0,0.00792,0,8.12e-4,0.003143,0.008931,0.006538,0.021319,0.05421,0.190205,0.017731,0.076933,0.057255,0.651434,0.066321,0.464162,0.001194,0.008117,0.005692,0.159675,4.151001,1.097292,0.156408
E08000025,412500,297500,6,2,7.197152,0,0.00761,0,8.27e-4,0.003651,0.009177,0.005168,0.022444,0.046489,0.193958,0.01521,0.077953,0.050296,0.645768,0.072545,0.463059,5.39e-4,0.008457,0.007331,0.158325,4.151001,1.104798,0.152547
E08000025,413500,297500,6,35,7.164523,0,0.007583,0,8.54e-4,0.001677,0.008903,0.00809,0.020985,0.053176,0.185602,0.017888,0.075603,0.044591,0.621788,0.077924,0.437794,0,0.008171,0.007228,0.153853,4.151001,1.137158,0.14465
E08000025,414500,297500,6,35,6.989424,2.74e-4,0.008073,0,9e-4,0,0.008774,3.98e-4,0.019691,0.003427,0.182274,0.001807,0.076169,0.003144,0.59002,0.002005,0.41596,0,0.007904,8e-4,0.146085,4.151001,1.231969,0.13875
E08000025,408500,296500,6,2,7.525092,0,0.010351,0,7.06e-4,0.004812,0.010614,0.004279,0.023832,0.052489,0.220893,0.017322,0.090441,0.022673,0.778741,0.033778,0.580282,0,0.007148,0.003582,0.194871,4.16831,1.130018,0.169947
